CustomerID,Region,Age,Plan,DeviceType,CustomerSegment,TenureMonths,MonthlyDataGB,MonthlyVoiceMins,MonthlySMSCount,MonthlyMpesaTransactions,MonthlySpendKES,HasMpesa,HasSafaricomHome,HasShowmax,HasInternationalRoaming,NumServices,CustomerServiceCalls,NetworkComplaints,UnresolvedComplaints,NetworkQualityScore,DaysSinceLastTopup,ContractMonths,Churned
SAF000040,Mombasa,54,Hybrid,Smartphone,Consumer,93,3.03,143.0,21.0,15.0,1049.0,1,1,0,0,2,1,0,0,7.0,0.0,0,0
SAF000041,Nairobi,51,Postpaid,Tablet,Consumer,87,6.63,151.0,2.0,3.0,1468.0,1,0,0,0,1,0,1,0,6.2,9.0,36,0
SAF000042,Mombasa,62,Prepaid,Smartphone,Consumer,82,11.59,43.0,16.0,5.0,1913.0,1,0,0,0,1,0,0,0,7.3,9.0,0,0
SAF000043,Nairobi,40,Prepaid,Smartphone,Consumer,78,4.04,151.0,41.0,0.0,1126.0,1,1,0,0,2,2,0,0,7.6,14.0,0,0
SAF000044,Nyeri,49,Postpaid,Smartphone,SME,81,1.39,148.0,7.0,3.0,661.0,1,0,0,0,1,0,0,0,6.7,23.0,12,0
SAF000045,Nairobi,63,Postpaid,Feature Phone,SME,66,1.29,108.0,40.0,1.0,715.0,1,1,1,0,3,0,0,0,3.5,2.0,36,0
SAF000046,Nakuru,20,Postpaid,Smartphone,SME,31,0.26,53.0,143.0,1.0,538.0,1,1,0,0,2,3,0,0,6.8,0.0,12,0
SAF000047,Nairobi,60,Prepaid,Smartphone,Consumer,83,1.95,200.0,80.0,5.0,935.0,1,1,0,0,2,2,0,0,6.2,11.0,0,0
SAF000048,Kisumu,39,Prepaid,Smartphone,Consumer,96,8.64,333.0,18.0,3.0,2338.0,1,0,1,0,2,2,1,0,5.2,15.0,0,0
SAF000049,Kisumu,40,Prepaid,Feature Phone,Consumer,62,2.28,245.0,22.0,1.0,1361.0,1,0,0,0,1,1,1,0,9.8,1.0,0,0
SAF000050,Nairobi,21,Prepaid,Dongle,Consumer,54,8.47,33.0,22.0,6.0,1589.0,1,0,0,0,1,2,1,0,5.8,1.0,0,0
SAF000051,Meru,30,Prepaid,Feature Phone,Enterprise,92,5.95,71.0,79.0,12.0,1306.0,1,0,0,0,1,1,1,1,8.9,13.0,0,0
SAF000052,Eldoret,49,Postpaid,Smartphone,SME,105,14.51,50.0,204.0,11.0,2792.0,1,1,0,0,2,3,0,0,7.0,27.0,36,0
SAF000053,Nyeri,46,Prepaid,Tablet,Consumer,8,10.33,148.0,70.0,2.0,2427.0,1,1,0,1,3,1,0,0,6.8,4.0,0,0
SAF000054,Machakos,57,Prepaid,Smartphone,Enterprise,42,4.29,214.0,33.0,2.0,1432.0,1,1,0,1,3,1,0,0,7.9,16.0,0,0
SAF000055,Kisumu,57,Prepaid,Smartphone,Consumer,41,7.17,29.0,4.0,11.0,1293.0,1,0,1,0,2,2,2,1,9.7,10.0,0,0
SAF000056,Nyeri,62,Postpaid,Smartphone,SME,59,4.83,353.0,124.0,7.0,1943.0,0,0,0,0,0,1,1,0,7.0,2.0,12,0
SAF000057,Nairobi,27,Prepaid,Smartphone,Consumer,40,4.25,136.0,79.0,11.0,1395.0,0,1,0,0,1,0,0,0,6.2,1.0,0,0
SAF000058,Nairobi,30,Prepaid,Feature Phone,SME,103,4.4,30.0,74.0,0.0,1002.0,0,0,0,0,0,0,0,0,7.9,2.0,0,0
SAF000059,Nairobi,62,Prepaid,Smartphone,Consumer,22,4.47,56.0,20.0,1.0,1034.0,1,1,0,0,2,1,1,1,8.6,5.0,0,0
SAF000060,Nairobi,34,Prepaid,Smartphone,Consumer,24,1.67,13.0,24.0,13.0,649.0,1,0,0,0,1,3,1,1,7.8,4.0,0,0
SAF000061,Mombasa,55,Hybrid,Smartphone,Consumer,38,1.93,109.0,5.0,15.0,778.0,1,0,0,0,1,3,1,0,8.3,22.0,0,0
SAF000062,Nairobi,19,Hybrid,Smartphone,Consumer,2,1.22,22.0,111.0,3.0,721.0,1,1,0,0,2,3,0,0,8.6,4.0,0,0
SAF000063,Thika,34,Prepaid,Smartphone,Consumer,41,0.56,142.0,115.0,25.0,614.0,1,0,0,0,1,4,0,0,8.6,1.0,0,0
SAF000064,Mombasa,61,Prepaid,Smartphone,Consumer,105,2.15,160.0,12.0,3.0,980.0,1,0,0,1,2,0,0,0,7.0,1.0,0,0
SAF000065,Nairobi,43,Postpaid,Smartphone,Consumer,19,8.06,78.0,48.0,18.0,1849.0,1,0,0,0,1,4,2,0,9.1,17.0,36,0
SAF000066,Kisumu,55,Prepaid,Feature Phone,SME,105,3.69,12.0,9.0,4.0,1038.0,1,0,0,0,1,2,0,0,6.6,5.0,0,0
SAF000067,Nairobi,54,Prepaid,Feature Phone,Consumer,2,0.2,113.0,20.0,7.0,491.0,1,0,1,0,2,0,0,0,9.0,20.0,0,0
SAF000068,Thika,22,Prepaid,Feature Phone,SME,92,5.83,56.0,14.0,8.0,1202.0,1,0,0,0,1,3,2,0,9.4,21.0,0,0
SAF000069,Nairobi,42,Hybrid,Smartphone,Consumer,96,9.59,359.0,20.0,1.0,2750.0,1,0,1,0,2,2,1,0,8.3,23.0,0,0
SAF000070,Garissa,26,Prepaid,Tablet,Youth,62,6.19,86.0,15.0,0.0,1324.0,1,0,0,0,1,0,0,0,8.6,18.0,0,0
SAF000071,Eldoret,45,Prepaid,Tablet,Youth,83,4.55,9.0,17.0,4.0,870.0,1,0,0,0,1,2,2,0,8.5,15.0,0,0
SAF000072,Nairobi,39,Postpaid,Feature Phone,Consumer,16,0.57,121.0,63.0,1.0,601.0,1,0,1,0,2,4,0,0,7.1,7.0,36,0
SAF000073,Nairobi,46,Prepaid,Smartphone,SME,94,1.5,181.0,14.0,6.0,803.0,1,0,0,0,1,0,0,0,7.9,21.0,0,0
SAF000074,Thika,52,Prepaid,Smartphone,Consumer,22,2.92,21.0,67.0,5.0,651.0,1,0,0,1,2,1,1,1,9.4,11.0,0,0
SAF000075,Eldoret,37,Hybrid,Dongle,Youth,14,0.28,72.0,34.0,1.0,437.0,1,0,0,0,1,0,0,0,5.5,8.0,0,0
SAF000076,Eldoret,22,Prepaid,Smartphone,Consumer,116,0.39,163.0,61.0,9.0,564.0,1,1,0,0,2,1,0,0,8.9,16.0,0,0
SAF000077,Eldoret,56,Postpaid,Smartphone,Consumer,56,9.53,2.0,100.0,0.0,1674.0,1,1,0,0,2,0,2,0,3.4,12.0,12,0
SAF000078,Nairobi,61,Prepaid,Smartphone,Consumer,65,4.25,4.0,6.0,1.0,1011.0,1,0,0,0,1,1,0,0,6.2,3.0,0,0
SAF000079,Mombasa,49,Prepaid,Smartphone,Consumer,45,1.13,136.0,17.0,10.0,816.0,1,0,0,0,1,3,0,0,7.2,2.0,0,0
SAF000080,Nairobi,56,Prepaid,Dongle,Consumer,54,1.39,155.0,2.0,6.0,742.0,1,0,0,0,1,3,0,0,6.9,1.0,0,0
SAF000081,Machakos,27,Prepaid,Smartphone,SME,66,1.7,224.0,21.0,3.0,1062.0,1,0,0,0,1,0,0,0,8.5,21.0,0,0
SAF000082,Nakuru,57,Prepaid,Smartphone,Consumer,86,0.27,61.0,11.0,2.0,395.0,1,1,0,0,2,0,0,0,4.7,1.0,0,0
SAF000083,Nairobi,34,Postpaid,Feature Phone,Consumer,46,4.7,59.0,34.0,8.0,1012.0,1,0,0,0,1,2,2,1,7.9,10.0,12,1
SAF000084,Nairobi,54,Prepaid,Smartphone,Consumer,33,0.68,96.0,61.0,2.0,373.0,1,0,1,0,2,3,0,0,5.7,3.0,0,0
SAF000085,Nairobi,32,Prepaid,Smartphone,Consumer,79,5.72,170.0,27.0,33.0,1421.0,1,0,0,0,1,1,0,0,8.4,4.0,0,0
SAF000086,Nairobi,26,Prepaid,Smartphone,Consumer,50,6.54,123.0,16.0,16.0,1474.0,1,1,0,0,2,1,0,0,5.3,1.0,0,0
SAF000087,Eldoret,49,Postpaid,Feature Phone,Enterprise,105,3.56,48.0,7.0,1.0,1111.0,1,0,1,1,3,3,1,1,7.6,1.0,24,0
SAF000088,Nakuru,40,Prepaid,Smartphone,Consumer,22,5.14,51.0,1.0,16.0,1162.0,0,1,0,0,1,2,0,0,9.1,3.0,0,0
SAF000089,Machakos,28,Prepaid,Feature Phone,SME,40,0.66,173.0,45.0,3.0,767.0,1,0,0,0,1,0,0,0,6.0,9.0,0,0
SAF000090,Mombasa,30,Prepaid,Smartphone,Consumer,39,3.0,92.0,1.0,5.0,932.0,1,0,0,0,1,0,1,0,7.0,2.0,0,0
SAF000091,Nairobi,35,Prepaid,Smartphone,Consumer,105,3.95,12.0,101.0,1.0,949.0,1,0,0,0,1,3,0,0,6.8,8.0,0,0
SAF000092,Eldoret,26,Prepaid,Smartphone,SME,41,3.79,20.0,36.0,1.0,785.0,1,0,0,0,1,0,0,0,6.5,40.0,0,0
SAF000093,Eldoret,59,Postpaid,Smartphone,Consumer,75,0.44,229.0,17.0,16.0,850.0,1,0,0,0,1,0,1,1,6.9,4.0,36,0
SAF000094,Kisumu,22,Prepaid,Feature Phone,Consumer,68,1.48,807.0,2.0,8.0,2407.0,1,0,0,0,1,0,3,2,4.7,19.0,0,1
SAF000095,Eldoret,60,Prepaid,Feature Phone,SME,7,1.38,49.0,21.0,5.0,399.0,1,0,0,0,1,2,0,0,7.7,1.0,0,0
SAF000096,Mombasa,39,Prepaid,Smartphone,Consumer,85,2.97,59.0,81.0,0.0,818.0,1,0,1,0,2,1,1,0,6.6,3.0,0,0
SAF000097,Kisumu,49,Postpaid,Smartphone,Consumer,71,5.07,20.0,140.0,20.0,1141.0,1,0,0,0,1,1,0,0,6.8,6.0,12,0
SAF000098,Mombasa,64,Prepaid,Feature Phone,SME,4,2.96,32.0,4.0,4.0,773.0,1,0,0,0,1,2,0,0,8.4,2.0,0,0
SAF000099,Nairobi,19,Prepaid,Smartphone,SME,76,4.92,66.0,60.0,4.0,1167.0,1,0,0,0,1,0,0,0,6.1,3.0,0,0
SAF000100,Nairobi,38,Prepaid,Smartphone,Consumer,91,0.36,40.0,12.0,3.0,463.0,1,1,0,1,3,2,3,1,7.1,4.0,0,0
SAF000101,Nairobi,45,Prepaid,Dongle,Consumer,59,7.37,145.0,19.0,18.0,1667.0,1,1,0,0,2,2,1,1,3.2,8.0,0,1
SAF000102,Nakuru,41,Prepaid,Smartphone,Consumer,81,2.69,93.0,32.0,3.0,998.0,1,1,0,0,2,2,0,0,10.0,2.0,0,0
SAF000103,Nairobi,41,Prepaid,Dongle,Consumer,84,0.13,207.0,210.0,2.0,968.0,1,0,1,0,2,2,1,0,9.0,3.0,0,0
SAF000104,Kisumu,31,Prepaid,Smartphone,SME,95,3.61,155.0,9.0,6.0,1185.0,1,1,0,0,2,3,1,1,6.5,22.0,0,0
SAF000105,Nyeri,54,Prepaid,Feature Phone,Enterprise,26,2.55,16.0,6.0,12.0,658.0,1,1,1,0,3,0,0,0,9.9,2.0,0,0
SAF000106,Nairobi,44,Prepaid,Smartphone,Enterprise,31,0.87,16.0,36.0,4.0,359.0,1,0,0,0,1,1,0,0,7.6,9.0,0,0
SAF000107,Mombasa,41,Prepaid,Smartphone,Consumer,99,5.06,271.0,77.0,8.0,1779.0,1,0,0,0,1,2,1,1,3.7,14.0,0,0
SAF000108,Eldoret,23,Prepaid,Smartphone,Consumer,73,9.49,205.0,42.0,3.0,2120.0,1,0,0,0,1,1,0,0,5.8,8.0,0,0
SAF000109,Nairobi,43,Postpaid,Smartphone,SME,69,1.36,76.0,17.0,10.0,516.0,1,0,0,0,1,3,0,0,7.8,11.0,36,0
SAF000110,Nairobi,32,Hybrid,Smartphone,Consumer,52,2.38,17.0,151.0,9.0,778.0,1,0,0,0,1,3,0,0,6.2,29.0,0,1
SAF000111,Nairobi,46,Hybrid,Smartphone,SME,112,0.48,275.0,212.0,9.0,1165.0,1,0,1,1,3,3,3,1,6.3,3.0,0,0
SAF000112,Nairobi,53,Postpaid,Smartphone,SME,72,9.3,31.0,59.0,8.0,1654.0,1,0,0,0,1,0,0,0,7.6,2.0,12,0
SAF000113,Nyeri,27,Postpaid,Feature Phone,Youth,21,1.34,4.0,65.0,1.0,486.0,1,0,0,0,1,2,1,0,8.4,4.0,36,0
SAF000114,Thika,45,Postpaid,Smartphone,Consumer,16,0.76,310.0,57.0,18.0,1216.0,1,0,0,0,1,3,1,1,5.8,7.0,36,1
SAF000115,Nakuru,26,Prepaid,Smartphone,Consumer,51,2.28,199.0,12.0,7.0,1033.0,1,0,0,0,1,1,1,0,9.9,1.0,0,0
SAF000116,Machakos,38,Postpaid,Smartphone,Enterprise,16,0.15,142.0,7.0,4.0,745.0,1,0,0,0,1,1,2,1,6.8,0.0,12,1
SAF000117,Thika,27,Prepaid,Smartphone,SME,18,1.02,4.0,32.0,2.0,511.0,1,0,0,0,1,5,1,0,6.9,1.0,0,0
SAF000118,Nairobi,21,Prepaid,Smartphone,Enterprise,47,0.25,90.0,123.0,12.0,544.0,1,0,0,0,1,0,0,0,6.8,1.0,0,0
SAF000119,Machakos,21,Postpaid,Smartphone,Consumer,56,0.48,127.0,84.0,6.0,560.0,1,0,0,1,2,0,0,0,5.1,0.0,36,0
SAF000120,Kisumu,23,Prepaid,Feature Phone,SME,28,0.42,171.0,5.0,1.0,684.0,1,0,0,0,1,0,0,0,5.9,6.0,0,0
SAF000121,Thika,43,Prepaid,Smartphone,SME,82,7.21,76.0,2.0,20.0,1519.0,1,0,0,1,2,1,0,0,4.8,6.0,0,0
SAF000122,Machakos,57,Hybrid,Smartphone,Consumer,78,9.33,368.0,83.0,1.0,2434.0,1,0,1,0,2,3,1,0,5.0,5.0,0,0
SAF000123,Nairobi,33,Prepaid,Tablet,Consumer,56,2.25,34.0,38.0,6.0,491.0,1,0,0,0,1,1,0,0,5.5,1.0,0,1
SAF000124,Nairobi,25,Prepaid,Feature Phone,SME,112,3.48,9.0,15.0,8.0,636.0,1,0,0,0,1,0,0,0,6.4,21.0,0,0
SAF000125,Nairobi,45,Hybrid,Smartphone,Consumer,37,4.17,49.0,33.0,55.0,1096.0,1,1,0,0,2,0,0,0,5.7,9.0,0,0
SAF000126,Mombasa,33,Postpaid,Feature Phone,Consumer,104,1.74,130.0,10.0,1.0,938.0,0,0,1,0,1,0,1,0,6.2,1.0,12,0
SAF000127,Thika,55,Prepaid,Smartphone,SME,16,1.62,160.0,117.0,8.0,855.0,1,0,0,1,2,0,1,0,7.1,6.0,0,0
SAF000128,Machakos,18,Prepaid,Feature Phone,Consumer,85,3.94,161.0,70.0,5.0,1124.0,1,0,0,0,1,3,0,0,5.8,0.0,0,0
SAF000129,Nairobi,36,Prepaid,Smartphone,Enterprise,65,1.65,14.0,131.0,2.0,637.0,1,0,0,0,1,2,2,2,6.9,4.0,0,1
SAF000130,Kisumu,34,Postpaid,Feature Phone,Consumer,60,3.04,260.0,8.0,23.0,1328.0,0,0,0,0,0,3,0,0,9.4,12.0,36,0
SAF000131,Mombasa,45,Prepaid,Dongle,Consumer,61,2.53,40.0,74.0,13.0,634.0,1,0,0,0,1,1,1,1,6.2,5.0,0,1
SAF000132,Nairobi,61,Prepaid,Smartphone,Youth,11,2.6,28.0,33.0,12.0,592.0,1,0,0,0,1,1,0,0,6.6,1.0,0,1
SAF000133,Nairobi,29,Prepaid,Smartphone,Youth,75,6.19,114.0,16.0,18.0,1364.0,1,0,1,0,2,0,0,0,7.5,13.0,0,1
SAF000134,Nairobi,23,Prepaid,Smartphone,Consumer,66,4.26,29.0,26.0,10.0,894.0,1,1,0,0,2,1,0,0,8.4,1.0,0,0
SAF000135,Meru,24,Hybrid,Smartphone,SME,32,11.33,85.0,116.0,6.0,2259.0,1,0,1,1,3,0,0,0,6.3,5.0,0,0
SAF000136,Nairobi,25,Prepaid,Smartphone,Consumer,118,5.48,63.0,47.0,4.0,992.0,1,0,1,0,2,0,0,0,5.8,5.0,0,0
SAF000137,Kisumu,20,Postpaid,Smartphone,Consumer,19,0.55,32.0,18.0,10.0,571.0,1,0,1,0,2,1,2,0,8.0,10.0,24,0
SAF000138,Eldoret,38,Prepaid,Smartphone,Consumer,56,4.69,41.0,368.0,7.0,1411.0,1,1,0,0,2,0,2,0,8.1,30.0,0,0
SAF000139,Mombasa,25,Postpaid,Smartphone,Consumer,5,3.83,67.0,17.0,6.0,968.0,1,0,0,0,1,1,0,0,6.0,4.0,24,0
SAF000140,Garissa,45,Hybrid,Smartphone,Enterprise,3,3.64,51.0,67.0,7.0,877.0,1,1,0,0,2,0,1,0,7.4,7.0,0,0
SAF000141,Meru,47,Prepaid,Smartphone,SME,28,2.29,58.0,61.0,9.0,665.0,1,1,1,0,3,5,4,1,8.8,5.0,0,0
SAF000142,Nairobi,49,Prepaid,Smartphone,Youth,90,0.23,160.0,51.0,28.0,606.0,1,1,0,0,2,2,1,0,9.4,1.0,0,0
SAF000143,Mombasa,28,Prepaid,Tablet,SME,87,10.59,22.0,44.0,11.0,1839.0,1,1,0,0,2,0,0,0,8.8,11.0,0,0
SAF000144,Nairobi,37,Postpaid,Smartphone,Consumer,94,6.69,119.0,5.0,2.0,1547.0,1,0,0,0,1,0,0,0,7.6,5.0,24,0
SAF000145,Nairobi,33,Prepaid,Smartphone,SME,72,2.33,136.0,212.0,5.0,1215.0,1,0,1,0,2,2,1,1,6.4,7.0,0,0
SAF000146,Nairobi,42,Postpaid,Feature Phone,Youth,100,0.6,194.0,7.0,9.0,641.0,1,0,1,1,3,2,0,0,6.6,3.0,24,0
SAF000147,Nakuru,62,Postpaid,Feature Phone,SME,29,6.09,226.0,36.0,2.0,1670.0,1,0,0,0,1,1,0,0,6.8,17.0,36,0
SAF000148,Kisumu,26,Postpaid,Smartphone,SME,77,1.97,21.0,11.0,22.0,573.0,1,0,0,0,1,2,1,0,7.1,8.0,12,0
SAF000149,Nairobi,56,Postpaid,Tablet,Youth,59,1.73,18.0,7.0,1.0,533.0,1,0,0,0,1,1,1,0,8.2,3.0,12,0
SAF000150,Nairobi,57,Prepaid,Smartphone,Consumer,25,3.83,114.0,33.0,8.0,1035.0,1,1,0,1,3,2,2,1,6.6,5.0,0,1
SAF000151,Nyeri,57,Prepaid,Tablet,SME,22,4.98,170.0,72.0,30.0,1408.0,0,0,0,0,0,3,0,0,6.6,3.0,0,1
SAF000152,Nairobi,20,Prepaid,Smartphone,Enterprise,110,0.23,38.0,19.0,10.0,325.0,1,0,0,0,1,2,2,1,8.2,7.0,0,0
SAF000153,Nairobi,33,Hybrid,Smartphone,Youth,97,5.11,90.0,3.0,9.0,1076.0,1,0,0,0,1,1,0,0,5.1,12.0,0,0
SAF000154,Mombasa,29,Postpaid,Smartphone,Consumer,101,4.63,178.0,39.0,48.0,1286.0,1,0,0,0,1,0,0,0,7.7,3.0,36,0
SAF000155,Garissa,32,Postpaid,Feature Phone,Consumer,117,3.11,175.0,58.0,13.0,974.0,1,0,0,0,1,2,0,0,7.1,12.0,24,0
SAF000156,Nairobi,21,Prepaid,Smartphone,SME,71,1.45,127.0,14.0,28.0,859.0,1,0,0,0,1,0,0,0,6.9,18.0,0,0
SAF000157,Nakuru,40,Prepaid,Smartphone,Consumer,23,0.63,10.0,47.0,10.0,423.0,1,1,0,0,2,5,1,0,5.7,4.0,0,0
SAF000158,Eldoret,44,Postpaid,Smartphone,SME,70,0.38,6.0,3.0,9.0,139.0,1,0,0,0,1,1,0,0,6.4,2.0,12,0
SAF000159,Nairobi,56,Prepaid,Tablet,Consumer,79,0.1,59.0,18.0,12.0,268.0,1,0,0,0,1,4,0,0,7.7,20.0,0,0
SAF000160,Eldoret,60,Prepaid,Feature Phone,Consumer,79,0.81,3.0,26.0,2.0,219.0,1,0,0,0,1,2,0,0,7.0,0.0,0,0
SAF000161,Mombasa,54,Postpaid,Smartphone,Consumer,40,1.85,281.0,61.0,13.0,1147.0,1,1,0,1,3,0,1,1,8.3,5.0,24,0
SAF000162,Nakuru,30,Prepaid,Smartphone,Consumer,98,0.98,2.0,17.0,28.0,393.0,1,0,1,1,3,4,0,0,8.2,11.0,0,0
SAF000163,Nakuru,60,Prepaid,Smartphone,Consumer,14,1.29,4.0,24.0,8.0,715.0,1,0,0,0,1,0,0,0,5.2,0.0,0,0
SAF000164,Kisumu,54,Prepaid,Smartphone,Consumer,29,1.73,22.0,40.0,0.0,510.0,1,0,1,0,2,1,0,0,3.7,7.0,0,0
SAF000165,Nairobi,57,Prepaid,Tablet,Consumer,16,1.29,118.0,39.0,1.0,775.0,1,0,0,0,1,1,0,0,7.2,13.0,0,0
SAF000166,Thika,38,Hybrid,Smartphone,Consumer,93,4.51,94.0,29.0,2.0,1129.0,0,0,0,0,0,0,1,0,6.5,2.0,0,1
SAF000167,Nairobi,46,Prepaid,Smartphone,Consumer,87,2.37,129.0,16.0,5.0,918.0,1,1,0,1,3,1,1,0,6.7,3.0,0,0
SAF000168,Nairobi,46,Prepaid,Smartphone,Consumer,10,0.1,269.0,44.0,4.0,903.0,1,0,0,1,2,2,3,1,7.0,0.0,0,1
